Year,University education,University Rate Using CPI
1993,675500000.00,675500000.00
1994,733500000.00,676513250.00
1995,831700000.00,690922982.23
1996,930600000.00,702185026.84
1997,1032600000.00,713771079.78
1998,1157000000.00,720766036.36
1999,1319100000.00,733379442.00
2000,1453100000.00,753400700.76
2001,1567600000.00,772612418.63
2002,1762100000.00,789996198.05
2003,2002100000.00,811958092.36
2004,2173300000.00,826816925.45
2005,2289700000.00,845254942.88
2006,2437400000.00,862413618.23
2007,2587600000.00,880955511.02
2008,2760900000.00,901922252.18
2009,3019500000.00,904628018.94
2010,3310900000.00,920730397.67
2011,3571000000.00,947431579.21
2012,3900800000.00,962116768.68
2013,4228500000.00,970775819.60
2014,4545200000.00,989220560.17
2015,4870600000.00,1000398752.50
2016,5283700000.00,1014904534.42
2017,5712500000.00,1031143006.97
2018,6249000000.00,1054859296.13
2019,6525100000.00,1075429052.40
2020,6657900000.00,1082741969.96
2021,6860900000.00,1119880019.53
