Year,Telecommunication services,Telecom using CPI
1993,2595300000.00,2595300000.00
1994,2636400000.00,2599192950.00
1995,2863800000.00,2654555759.84
1996,3187400000.00,2697825018.72
1997,3527100000.00,2742339131.53
1998,3840100000.00,2769214055.02
1999,4060500000.00,2817675300.98
2000,4759600000.00,2894597836.70
2001,5085600000.00,2968410081.53
2002,5687500000.00,3035199308.37
2003,5895200000.00,3119577849.14
2004,6224400000.00,3176666123.78
2005,6541000000.00,3247505778.34
2006,6844400000.00,3313430145.64
2007,7187400000.00,3384668893.77
2008,7338400000.00,3465224013.44
2009,8136000000.00,3475619685.48
2010,8408200000.00,3537485715.89
2011,9044200000.00,3640072801.65
2012,9180100000.00,3696493930.07
2013,9688500000.00,3729762375.44
2014,10034800000.00,3800627860.58
2015,10455900000.00,3843574955.40
2016,10884600000.00,3899306792.25
2017,11598600000.00,3961695700.93
2018,12366000000.00,4052814702.05
2019,12803700000.00,4131844588.74
2020,12677400000.00,4159941131.94
2021,12890500000.00,4302627112.77
