Year,Clothing and footwear,Food,Rent,Insurance and Financial services,Pharmaceuticals,Telecommunication services,University education
1993,9260500000.00,15908600000.00,9123900000.00,12462200000.00,1733000000.00,2595300000.00,675500000.00
1994,9579200000.00,16061700000.00,9521800000.00,13635100000.00,1745400000.00,2636400000.00,733500000.00
1995,9821000000.00,16755000000.00,9865600000.00,14328200000.00,1846300000.00,2863800000.00,831700000.00
1996,9796000000.00,17085900000.00,10183400000.00,16169000000.00,2007600000.00,3187400000.00,930600000.00
1997,10242800000.00,17607100000.00,10476100000.00,17977300000.00,2228100000.00,3527100000.00,1032600000.00
1998,10763400000.00,18349200000.00,10790100000.00,19068700000.00,2541700000.00,3840100000.00,1157000000.00
1999,11424200000.00,19123000000.00,11175300000.00,20510300000.00,2815500000.00,4060500000.00,1319100000.00
2000,12108400000.00,20273100000.00,11592500000.00,21802600000.00,3163800000.00,4759600000.00,1453100000.00
2001,12488700000.00,21502500000.00,12080600000.00,22189200000.00,3483000000.00,5085600000.00,1567600000.00
2002,12825200000.00,22655700000.00,12756400000.00,23787400000.00,3929900000.00,5687500000.00,1762100000.00
2003,12934700000.00,23758800000.00,13293600000.00,24712400000.00,4231100000.00,5895200000.00,2002100000.00
2004,13252000000.00,24651600000.00,13755900000.00,26516100000.00,4573100000.00,6224400000.00,2173300000.00
2005,13437700000.00,25646500000.00,14148500000.00,28367100000.00,4897500000.00,6541000000.00,2289700000.00
2006,13999200000.00,26545200000.00,14698000000.00,30142200000.00,5357600000.00,6844400000.00,2437400000.00
2007,14432800000.00,27487200000.00,15268800000.00,32552000000.00,5769600000.00,7187400000.00,2587600000.00
2008,14453400000.00,29068700000.00,15786500000.00,32884400000.00,6067400000.00,7338400000.00,2760900000.00
2009,14079700000.00,30747800000.00,16162300000.00,31490300000.00,6317200000.00,8136000000.00,3019500000.00
2010,14817500000.00,31635200000.00,16813600000.00,33959000000.00,6620700000.00,8408200000.00,3310900000.00
2011,15320100000.00,32541300000.00,17577100000.00,35389900000.00,7056300000.00,9044200000.00,3571000000.00
2012,15475000000.00,33924800000.00,18227300000.00,35224000000.00,6901400000.00,9180100000.00,3900800000.00
2013,15976000000.00,34984300000.00,18991000000.00,36663300000.00,6989300000.00,9688500000.00,4228500000.00
2014,16770400000.00,36484800000.00,19708000000.00,39128200000.00,7171500000.00,10034800000.00,4545200000.00
2015,17879600000.00,38401900000.00,20587200000.00,40794500000.00,7465500000.00,10455900000.00,4870600000.00
2016,18263400000.00,39671000000.00,21384000000.00,42323600000.00,7460900000.00,10884600000.00,5283700000.00
2017,19296800000.00,41037000000.00,22194000000.00,44700400000.00,7871400000.00,11598600000.00,5712500000.00
2018,19766100000.00,43170700000.00,23074800000.00,46318900000.00,8214600000.00,12366000000.00,6249000000.00
2019,20428500000.00,44557200000.00,24448700000.00,48209800000.00,8676000000.00,12803700000.00,6525100000.00
2020,15243900000.00,49380700000.00,25489600000.00,49733800000.00,8931700000.00,12677400000.00,6657900000.00
2021,17352600000.00,50664500000.00,26718900000.00,54406500000.00,9232000000.00,12890500000.00,6860900000.00

